Animal_ID,Animal_type,Stroke size,Type,live_cells_0,CD19pos_B220pos_0,CD19pos_B220pos_MHCIIpos_0,CD11cpos_0,CD11bpos_0,mMDSCs_0,gMDSCs_0,Live cells_0,CD3pos_0,CD4pos_0,CD8pos_0,live_cells_7,CD19pos_B220pos_7,CD19pos_B220pos_MHCIIpos_7,CD11cpos_7,CD11bpos_7,mMDSCs_7,gMDSCs_7,Live cells_7,CD3pos_7,CD4pos_7,CD8pos_7,live_cells_28,CD19pos_B220pos_28,CD19pos_B220pos_MHCIIpos_28,CD11cpos_28,CD11bpos_28,mMDSCs_28,gMDSCs_28,Live cells_28,CD3pos_28,CD4pos_28,CD8pos_28
PLT2 f2-15,PLT2_female,3.27042,%gated,,,,,,,,,,,,98.7,42.3,77.3,2.5,58.4,20.7,64.1,98.4,45.7,47.2,41.5,,,,,,,,,,,
PLT2 f3-16,PLT2_female,2.95362,%gated,,,,,,,,,,,,98.6,44,76.8,4.4,55.3,23.4,55.4,98.5,64.9,46.1,44.2,,,,,,,,,,,
PLT2 f4-17,PLT2_female,4.99554,%gated,,,,,,,,,,,,98.6,51.6,76.9,3.2,42,20.2,51.1,98.3,53.9,46,45.6,,,,,,,,,,,
PLT2 f5-18,PLT2_female,3.51684,%gated,,,,,,,,,,,,98.6,43.9,79.1,4.1,52.4,25.3,57.6,98.2,46.9,41.7,47.7,,,,,,,,,,,
Pound f1-6,Pound_female,1.47744,%gated,,,,,,,,,,,,98.9,46.9,96.5,15.3,50.7,40.2,42,98.6,60.2,37.9,54.7,,,,,,,,,,,
Pound f2-7,Pound_female,2.49894,%gated,,,,,,,,,,,,98.8,45.7,98,14.7,35.9,29.6,45.4,98.6,65.2,41.6,51.7,,,,,,,,,,,
Pound f3-8,Pound_female,1.29222,%gated,,,,,,,,,,,,98.7,47.1,98.6,13,32.2,34,42.1,98.3,47.6,42,48,,,,,,,,,,,
10-Pound m1 fat (2)-2016-10-25-195852,Pound_male,1.92312,%gated,,,,,,,,,,,,96.5,48.3,97.6,11.1,53.9,26,26.6,93.9,54.4,49,40.1,,,,,,,,,,,
4-Pound m2 fat (2)-2016-10-25-182255,Pound_male,2.83752,%gated,,,,,,,,,,,,97.5,54.9,93.5,13.4,43.2,15.9,22.3,95.2,79.3,45.9,39.1,,,,,,,,,,,
5-Pound m3 fat (2)-2016-10-25-182554,Pound_male,3.26412,%gated,,,,,,,,,,,,97.4,55.9,94.7,16.2,56.2,17.2,36.7,94.5,65.8,39.2,55.4,,,,,,,,,,,
9-Pound m4 WT (2)-2016-10-25-192315,WT_male,1.98666,%gated,,,,,,,,,,,,97.6,54,94.6,27.3,46.5,17.1,24.1,96.4,82.4,56.1,38.5,,,,,,,,,,,
7-Pound f1 fat (3)-2016-10-25-182901,Pound_female,2.03004,%gated,,,,,,,,,,,,97.3,48.4,97.1,9.5,44.7,20.7,25,94.1,73.1,42.3,51.4,,,,,,,,,,,
9-Pound f3 WT (4)-2016-10-25-183706,WT_female,3.25494,%gated,,,,,,,,,,,,97.1,60,98.3,9.2,67,24.8,42.1,94.5,64.7,54.4,32.3,,,,,,,,,,,
10-Pound f4 WT (4)-2016-10-25-184110,WT_female,3.37554,%gated,,,,,,,,,,,,96.6,64.2,98.3,12.4,53,15.8,31.8,93.6,47.4,55.2,33,,,,,,,,,,,
11-Pound f5 WT (4)-2016-10-25-184547,WT_female,5.95602,%gated,,,,,,,,,,,,97.8,45,98.2,22.9,54.5,18.4,27.7,96.6,82.7,52.8,41.1,,,,,,,,,,,
12-Pound f6 WT (4)-2016-10-25-185016,WT_female,3.8682,%gated,,,,,,,,,,,,95.8,55,97.9,16.3,46.9,16.5,26.7,93.1,63.3,50.8,40.8,,,,,,,,,,,
13-Pound f7 WT (5)-2016-10-25-185457,WT_female,4.7826,%gated,,,,,,,,,,,,97.2,45.6,97.1,19.7,51.8,13.6,26.9,94.9,79.4,52.6,40.6,,,,,,,,,,,
10-Pound f9 WT (5)-2016-10-25-192744,WT_female,6.99426,%gated,,,,,,,,,,,,97.3,39.6,98.1,22.3,59.2,15.7,27.1,95.1,70.7,46,42.4,,,,,,,,,,,
3-Pound m1 fat (1)-2016-10-27-181739,Pound_male,2.04084,%gated,,,,,,,,,,,,97.8,43.4,95.8,74.4,63.4,16.7,48,90.5,83.4,39.7,49.2,,,,,,,,,,,
4-Pound m2 fat (1)-2016-10-27-182216,Pound_male,2.0421,%gated,,,,,,,,,,,,97.8,45.3,95.8,66.1,49.3,18.4,31.5,92.8,79.4,43.6,51.7,,,,,,,,,,,
5-PLT2 f1 (6)-2016-10-27-182651,PLT2_female,4.64724,%gated,,,,,,,,,,,,97.2,56.7,96.9,45.5,35.5,10.7,22.2,91.9,84,44.2,30.1,,,,,,,,,,,
11-PLT2 f2(6)-2016-10-27-190950,PLT2_female,6.6582,%gated,,,,,,,,,,,,97.2,58.3,97.3,52.9,42.2,10.4,29.7,93.6,74.3,48.3,40.9,,,,,,,,,,,
7-PLT2 f3 (6)-2016-10-27-183141,PLT2_female,5.63958,%gated,,,,,,,,,,,,98,61.8,93.6,53.4,46,11.1,29.8,93.9,80.3,49.1,36.8,,,,,,,,,,,
12-PLT2 f4 (7)-2016-10-27-191425,PLT2_female,3.72852,%gated,,,,,,,,,,,,97.3,61.2,97.9,64.5,55.6,13.6,37.7,93.9,82.4,44.7,39.7,,,,,,,,,,,
9-PLT2 f5 (7)-2016-10-27-183630,PLT2_female,7.15806,%gated,,,,,,,,,,,,97.6,61.9,97.7,62.1,52.5,13.5,32.9,92.1,78.4,44.5,43.3,,,,,,,,,,,
13-PLT2 f6 (7)-2016-10-27-191900,PLT2_female,4.87674,%gated,,,,,,,,,,,,95.5,55.3,98.2,56,44.9,11.4,30.4,87.7,84.3,49.3,35.3,,,,,,,,,,,
13-PLT2 m3 (8)-2016-10-27-185031,PLT2_male,5.98266,%gated,,,,,,,,,,,,96.7,64.8,97.4,69.2,57.8,11.8,38,89.1,52.5,45.1,44.4,,,,,,,,,,,
WT1 10 164949,WT_male,5.31846,%gated,,,,,,,,,,,,96.4,40.2,98.5,5.7,24.2,25.1,57.2,95.8,66.3,46.1,43.1,,,,,,,,,,,
WT2 11 165346,WT_male,3.94074,%gated,,,,,,,,,,,,94.9,38.1,97.6,5.3,16.4,17.5,57.2,95.6,70.6,48.3,41.2,,,,,,,,,,,
WT3 12 165734,WT_male,2.73816,%gated,,,,,,,,,,,,95.6,34.5,98.1,7.4,19.9,24.2,49.9,96.4,60.8,43.3,46.1,,,,,,,,,,,
WT5 14 170351,WT_male,4.71348,%gated,,,,,,,,,,,,95.1,40.7,98.5,6.9,17.6,18.5,57.3,95.9,69.7,42.3,48.3,,,,,,,,,,,
3-M PLT2 male 1 (1)-202522,PLT2_male,0.4896,Number,,,,,,,,,,,,,,,,,,,,,,,214027,108457,107703,2329,6200,1567,2568,81515,23377,10757,9814
4-M PLT2 male 2 (2)-203758,PLT2_male,1.71576,Number,,,,,,,,,,,,,,,,,,,,,,,217764,103007,102321,2413,6963,1783,2525,97361,36618,16977,17467
8-M PLT2 male 3 (3)-204459,PLT2_male,2.84736,Number,,,,,,,,,,,,,,,,,,,,,,,120169,62536,62127,1327,4244,970,1554,209370,62823,32591,26828
9-M PLT2 male 4 (4)-205036,PLT2_male,5.78448,Number,,,,,,,,,,,,,,,,,,,,,,,122943,56372,55911,989,7493,1741,4538,85666,34326,17198,15230
10-M PLT2 male 5 (11)-205612,PLT2_male,4.97544,Number,,,,,,,,,,,,,,,,,,,,,,,78256,41085,40632,994,2265,660,580,182382,66176,34138,28001
12-M Pound male2 WT (6)-210725,WT_male,2.84544,Number,,,,,,,,,,,,,,,,,,,,,,,81980,33851,33523,786,2161,722,731,252057,133937,73874,53905
13-M Pound male 3 fat (7)-211303,Pound_male,1.80672,Number,,,,,,,,,,,,,,,,,,,,,,,97417,31033,30789,980,6559,1953,3470,267772,67591,28923,35215
14-M Pound male4 WT (8)-211839,WT_male,5.02944,Number,,,,,,,,,,,,,,,,,,,,,,,100011,52889,52537,2031,3636,1025,724,263187,69785,38476,27145
8-M Pound male5 fat (9)-102106,Pound_male,3.12936,Number,,,,,,,,,,,,,,,,,,,,,,,162449,46107,41558,2085,6310,2172,2255,156724,73519,30853,37939
9-M PLT2 female2 (13)-102643,PLT2_female,7.23624,Number,,,,,,,,,,,,,,,,,,,,,,,189649,66239,65264,3822,8657,2233,2711,122930,22293,12005,8694
10-M Pound female1 fat (14)-103220,Pound_female,2.64768,Number,,,,,,,,,,,,,,,,,,,,,,,172275,45930,45234,4958,13976,5570,4970,143323,46848,23287,21198
11-M Pound female2 fat (15)-104904,Pound_female,1.7988,Number,,,,,,,,,,,,,,,,,,,,,,,100719,24375,22350,923,3677,1179,1450,105913,36605,15872,18811
3-PLT2 male 1 (1)-173641,PLT2_male,5.29656,Number,,,,,,,,,,,,,,,,,,,,,,,177087,116166,114500,3357,9274,1967,3638,67632,23950,11169,11043
4-PLT2 male 2 (2)-174027,PLT2_male,3.2772,Number,,,,,,,,,,,,,,,,,,,,,,,163866,93977,92753,2617,8307,1832,3725,93635,29641,14545,12222
5-Pound male WT1 (3)-174409,WT_male,6.20208,Number,,,,,,,,,,,,,,,,,,,,,,,141317,65803,64707,5098,12801,1561,5812,59863,19397,9668,7737
6-Pound male fat1 (4)-174737,Pound_male,2.41368,Number,,,,,,,,,,,,,,,,,,,,,,,145322,63535,61724,2499,11980,2301,5989,66037,31235,12479,16234
8-Pound male fat4 (7)-175445,Pound_male,1.14432,Number,,,,,,,,,,,,,,,,,,,,,,,151847,69116,67588,4446,13303,2397,6380,146029,61172,28058,28149
10-PLT2 male4 (9)-180153,PLT2_male,2.62536,Number,,,,,,,,,,,,,,,,,,,,,,,215651,106402,103747,3674,10517,1760,3403,160858,66142,34190,27411
11-PLT2 male 5 (10)-180503,PLT2_male,2.84256,Number,,,,,,,,,,,,,,,,,,,,,,,155071,82564,81425,3027,13073,2063,6165,134240,28926,11514,13358
12-Pound female fat1 (12)-180832,Pound_female,3.60168,Number,,,,,,,,,,,,,,,,,,,,,,,100358,33694,33096,2509,11388,2274,6165,132501,40830,12437,18005
