Animal_ID,Animal_type,Stroke size,Type,live_cells_0,CD19pos_B220pos_0,CD19pos_B220pos_MHCIIpos_0,CD11cpos_0,CD11bpos_0,mMDSCs_0,gMDSCs_0,,live_cells_7,CD19pos_B220pos_7,CD19pos_B220pos_MHCIIpos_7,CD11cpos_7,CD11bpos_7,mMDSCs_7,gMDSCs_7,,live_cells_28,CD19pos_B220pos_28,CD19pos_B220pos_MHCIIpos_28,CD11cpos_28,CD11bpos_28,mMDSCs_28,gMDSCs_28
10-PLT2 male4 (9)-162020,PLT2_male,2.62536,Number,,,,,,,,,,,,,,,,,122605,23734,16541,1425,74927,12920,59255
11-PLT2 male 5 (10)-162455,PLT2_male,2.84256,Number,,,,,,,,,,,,,,,,,203915,35324,21931,2159,129396,24478,100559
4-PLT2 male 2 (2)-155205,PLT2_male,3.2772,Number,,,,,,,,,,,,,,,,,171280,22449,16071,1630,116696,20306,92515
8-PLT2 male 1 (1)-171302,PLT2_male,5.29656,Number,,,,,,,,,,,,,,,,,211789,28380,20466,2425,143631,23496,115515
14-M PLT2 female2 (13)-193001,PLT2_female,7.23624,Number,,,,,,,,,,,,,,,,,81785,13399,10900,3180,40551,11836,23915
11-M Pound male4 WT (8)-191616,WT_male,5.02944,Number,,,,,,,,,,,,,,,,,134933,17501,12815,1963,90174,17057,69767
5-Pound male WT1 (3)-155654,WT_male,2.84544,Number,,,,,,,,,,,,,,,,,231448,31814,23303,3962,158891,27909,125307
10-M Pound male 3 fat (7)-191134,Pound_male,1.80672,Number,,,,,,,,,,,,,,,,,96997,5658,4892,1372,71045,15387,52399
12-M Pound male5 fat (9)-192050,Pound_male,3.12936,Number,,,,,,,,,,,,,,,,,125558,10461,9164,1953,80485,20026,55191
7-Pound male fat2 (5)-160632,Pound_male,2.2128,Number,,,,,,,,,,,,,,,,,162204,12569,8130,2295,126752,21151,101423
6-Pound male fat1 (4)-160129,Pound_male,2.41368,Number,,,,,,,,,,,,,,,,,182233,13003,11302,2034,135565,20028,108729
8-Pound male fat4 (7)-161109,Pound_male,1.14432,Number,,,,,,,,,,,,,,,,,182657,18370,12682,2305,122224,25299,91701
15-M Pound female1 fat (14)-193438,Pound_female,2.64768,Number,,,,,,,,,,,,,,,,,91004,7885,6421,1820,63845,16075,44247
13-Pound female fat2 (13)-163405,Pound_female,1.7988,Number,,,,,,,,,,,,,,,,,279732,25497,20044,3192,194936,38963,145781
12-Pound female fat1 (12)-162931,Pound_female,3.60168,Number,,,,,,,,,,,,,,,,,233840,16185,13357,4099,161939,30857,122840
14-Pound female WT1 (14)-163826,WT_female,7.48848,Number,,,,,,,,,,,,,,,,,278373,29961,18927,3572,200193,45077,148109
15-Pound female WT2 (16)-164239,WT_female,4.01784,Number,,,,,,,,,,,,,,,,,255994,39781,24588,4335,147832,18618,116674
met 1#4 female fat ,Pound_female,0.8148,Number,,,,,,,,,,,,,,,,,172180,,,4755,137491,7868,127008
met 2#3 female WT,WT_female,1.12632,Number,,,,,,,,,,,,,,,,,177061,,,10976,130169,23042,100892
met 2#4 female WT,WT_female,2.09472,Number,,,,,,,,,,,,,,,,,320367,,,12776,239275,36747,188954
met 4#4 PLT2,PLT2_female,3.74064,Number,,,,,,,,,,,,,,,,,263979,,,8052,196093,28686,158198
met 4#1 PLT2,PLT2_female,5.47224,Number,,,,,,,,,,,,,,,,,146685,,,3614,133811,10793,119032
met 4#2 PLT2,PLT2_female,6.48552,Number,,,,,,,,,,,,,,,,,202381,,,6341,164818,14176,139847
met 4#3 PLT2,PLT2_female,4.7004,Number,,,,,,,,,,,,,,,,,186594,,,7811,174141,26588,131663
met 3#4 female WT,WT_female,no data,Number,,,,,,,,,,,,,,,,,183123,,,4951,165744,14849,145246
met 2#2 female fat,Pound_female,1.60992,Number,,,,,,,,,,,,,,,,,78049,,,3289,72311,11366,58272
met 1#2 female WT,WT_female,4.2132,Number,,,,,,,,,,,,,,,,,83670,,,4106,77521,8447,66265
met 2#1 female fat,Pound_female,1.95984,Number,,,,,,,,,,,,,,,,,144353,,,8859,132851,15762,113775
3-M PLT2 male 1 (1)-184339,PLT2_male,0.4896,%gated,,,,,,,,,,,,,,,,,99,13.8,82.6,2.7,84.1,26.1,69
4-M PLT2 male 2 (2)-184802,PLT2_male,1.71576,%gated,,,,,,,,,,,,,,,,,99.1,10.9,72.7,1.9,83.6,23.8,72.2
5-M PLT2 male 3 (3)-185137,PLT2_male,2.84736,%gated,,,,,,,,,,,,,,,,,99.1,13.7,74.3,2.2,83.2,23,72.9
6-M PLT2 male 4 (4)-185531,PLT2_male,5.78448,%gated,,,,,,,,,,,,,,,,,99.2,13,79.9,2.2,81.9,26.3,69.4
7-M PLT2 male 5 (11)-185852,PLT2_male,4.97544,%gated,,,,,,,,,,,,,,,,,99.1,16.2,70.4,1.9,83.6,22.9,72.9
10-PLT2 male4 (9)-162020,PLT2_male,2.62536,%gated,,,,,,,,,,,,,,,,,99.9,19.4,69.7,1.6,82.7,17.2,79.1
11-PLT2 male 5 (10)-162455,PLT2_male,2.84256,%gated,,,,,,,,,,,,,,,,,99.9,17.3,62.1,1.4,83.1,18.9,77.7
4-PLT2 male 2 (2)-155205,PLT2_male,3.2772,%gated,,,,,,,,,,,,,,,,,99.8,13.1,71.6,1.2,84.7,17.4,79.3
8-PLT2 male 1 (1)-171302,PLT2_male,5.29656,%gated,,,,,,,,,,,,,,,,,99.9,13.4,72.1,1.4,85,16.4,80.4
14-M PLT2 female2 (13)-193001,PLT2_female,7.23624,%gated,,,,,,,,,,,,,,,,,97.5,16.4,81.3,5.6,72,29.2,59
11-M Pound male4 WT (8)-191616,WT_male,5.02944,%gated,,,,,,,,,,,,,,,,,99,13,73.2,1.8,84.7,18.9,77.4
5-Pound male WT1 (3)-155654,WT_male,2.84544,%gated,,,,,,,,,,,,,,,,,99.9,13.7,73.2,2.1,84.8,17.6,78.9
10-M Pound male 3 fat (7)-191134,Pound_male,1.80672,%gated,,,,,,,,,,,,,,,,,99,5.8,86.5,1.6,83.4,21.7,73.8
12-M Pound male5 fat (9)-192050,Pound_male,3.12936,%gated,,,,,,,,,,,,,,,,,98.7,8.3,87.6,2,80.7,24.9,68.6
7-Pound male fat2 (5)-160632,Pound_male,2.2128,%gated,,,,,,,,,,,,,,,,,99.9,7.7,64.7,1.6,88.6,16.7,80
6-Pound male fat1 (4)-160129,Pound_male,2.41368,%gated,,,,,,,,,,,,,,,,,99.9,7.1,86.9,1.3,86,14.8,80.2
8-Pound male fat4 (7)-161109,Pound_male,1.14432,%gated,,,,,,,,,,,,,,,,,99.9,10.1,69,1.5,80.4,20.7,75
15-M Pound female1 fat (14)-193438,Pound_female,2.64768,%gated,,,,,,,,,,,,,,,,,98.8,8.7,81.4,2.4,85.3,25.2,69.3
13-Pound female fat2 (13)-163405,Pound_female,1.7988,%gated,,,,,,,,,,,,,,,,,99.9,9.1,78.6,1.4,83.8,20,74.8
12-Pound female fat1 (12)-162931,Pound_female,3.60168,%gated,,,,,,,,,,,,,,,,,99.9,6.9,82.5,2,79.7,19.1,75.9
14-Pound female WT1 (14)-163826,WT_female,7.48848,%gated,,,,,,,,,,,,,,,,,99.9,10.8,63.2,1.5,86.7,22.5,74
15-Pound female WT2 (16)-164239,WT_female,4.01784,%gated,,,,,,,,,,,,,,,,,99.9,15.5,61.8,2.2,75.5,12.6,78.9
met 1#4 female fat ,Pound_female,0.8148,%gated,,,,,,,,,,,,,,,,,93.2,,,6.6,78,17.7,77.5
met 2#3 female WT,WT_female,1.12632,%gated,,,,,,,,,,,,,,,,,93.8,,,2.8,92.2,9,87.6
met 2#4 female WT,WT_female,2.09472,%gated,,,,,,,,,,,,,,,,,96.1,,,4.3,95.2,15.7,80.6
met 4#4 PLT2,PLT2_female,3.74064,%gated,,,,,,,,,,,,,,,,,95.7,,,6.3,94.5,11.9,85.6
met 4#1 PLT2,PLT2_female,5.47224,%gated,,,,,,,,,,,,,,,,,95.1,,,3.2,78.9,14.6,80.7
met 4#2 PLT2,PLT2_female,6.48552,%gated,,,,,,,,,,,,,,,,,91.7,,,2.5,93.3,8.1,89
met 4#3 PLT2,PLT2_female,4.7004,%gated,,,,,,,,,,,,,,,,,93.8,,,3.2,84.4,8.6,84.8
met 3#4 female WT,WT_female,no data,%gated,,,,,,,,,,,,,,,,,94.4,,,5,94.6,10.9,85.5
met 2#2 female fat,Pound_female,1.60992,%gated,,,,,,,,,,,,,,,,,93,,,4.3,95.2,15.3,75.6
met 1#2 female WT,WT_female,4.2132,%gated,,,,,,,,,,,,,,,,,95.7,,,2.9,82.9,5.7,92.4
met 2#1 female fat,Pound_female,1.95984,%gated,,,,,,,,,,,,,,,,,96.6,,,4.1,77.3,15.4,79
