Data Set,,Animal_type,Type,Live_cells_0,Live_cells_3,Live_cells_10,Live_cells_17,Live_cells_24,Live_cells_31,CD19pos_B220pos_0,CD19pos_B220pos_3,CD19pos_B220pos_10,CD19pos_B220pos_17,CD19pos_B220pos_24,CD19pos_B220pos_31,CD19pos_0,CD19pos_3,CD19pos_10,CD19pos_17,CD19pos_24,CD19pos_31,CD19pos_B220pos_MHCIIpos_0,CD19pos_B220pos_MHCIIpos_3,CD19pos_B220pos_MHCIIpos_10,CD19pos_B220pos_MHCIIpos_17,CD19pos_B220pos_MHCIIpos_24,CD19pos_B220pos_MHCIIpos_31,CD11cpos_0,CD11cpos_3,CD11cpos_10,CD11cpos_17,CD11cpos_24,CD11cpos_31,CD11bpos_0,CD11bpos_3,CD11bpos_10,CD11bpos_17,CD11bpos_24,CD11bpos_31,mMDSCs_0,mMDSCs_3,mMDSCs_10,mMDSCs_17,mMDSCs_24,mMDSCs_31,gMDSCs_0,gMDSCs_3,gMDSCs_10,gMDSCs_17,gMDSCs_24,gMDSCs_31,intMDSCs_0,intMDSCs_3,intMDSCs_10,intMDSCs_17,intMDSCs_24,intMDSCs_31,mMDSCs_MHCIIpos_0,mMDSCs_MHCIIpos_3,mMDSCs_MHCIIpos_10,mMDSCs_MHCIIpos_17,mMDSCs_MHCIIpos_24,mMDSCs_MHCIIpos_31,gMDSCs_MHCIIpos_0,gMDSCs_MHCIIpos_3,gMDSCs_MHCIIpos_10,gMDSCs_MHCIIpos_17,gMDSCs_MHCIIpos_24,gMDSCs_MHCIIpos_31,intMDSCs_MHCIIpos_0,intMDSCs_MHCIIpos_3,intMDSCs_MHCIIpos_10,intMDSCs_MHCIIpos_17,intMDSCs_MHCIIpos_24,intMDSCs_MHCIIpos_31,
M PLT2 female2 (13)-19,,PLT2_female,Number,4480.00,30874,45504,45341,53359,,966,5736,10377,10658,11543,,1297,8624,15364,14789,17246,,948,5590,10139,10387,11111,,119,793,995,1322,1437,,963,6282,10180,10525,11669,,147,1163,270,2379,2266,,639,3619,8346,6122,7874,,86,791,546,839,535,,6,47,38,106,163,,0,57,27,24,20,,10,48,68,99,132,,
M Pound female1 fat (14)-20,,Pound_female,Number,20514.00,59039,85977,50469,50185,,2616,12148,13108,4935,6190,,2932,15409,21784,7173,8157,,2498,11456,12583,4737,5920,,319,695,994,699,1241,,1975,8965,17394,20836,21004,,194,2434,718,2891,4064,,1506,4756,14240,15871,14523,,151,927,1257,1021,991,,2,29,75,33,60,,5,41,44,48,29,,6,40,85,48,63,,
M Pound female2 fat (15)-21,,Pound_female,Number,11678.00,96506,89536,53078,45639,,2105,20693,15623,2140,984,,2280,25855,27779,3860,1715,,2048,19045,14880,2039,927,,526,685,1286,604,854,,4814,34336,31385,29821,31891,,319,3909,1365,1668,1557,,4126,28344,25616,27042,29151,,225,1184,2107,341,227,,6,27,106,46,74,,9,125,65,48,36,,17,37,132,36,21,,
M Pound female 3 fat (16)-22,,Pound_female,Number,10874.00,36070,,,,,1744,256,,,,,2138,3397,,,,,1661,190,,,,,377,207,,,,,1750,21238,,,,,75,1802,,,,,1434,17307,,,,,138,1229,,,,,3,29,,,,,3,111,,,,,13,9,,,,,
PLT2 male 1 (1)-6-2016-09-07,Met 4,PLT2_male,Number,32113.00,32101,,,,,6378,8126,,,,,7092,9911,,,,,6090,8047,,,,,1365,939,,,,,9549,9038,,,,,1489,1450,,,,,5190,6141,,,,,1349,747,,,,,64,92,,,,,10,141,,,,,44,93,,,,,
PLT2 male 2 (2)-7-2016-09-07,,PLT2_male,Number,41189.00,97140,,,,,9021,25069,,,,,9889,30183,,,,,8764,24591,,,,,1548,3426,,,,,13729,36059,,,,,1382,5804,,,,,8449,20073,,,,,1645,3723,,,,,48,392,,,,,9,430,,,,,64,304,,,,,
PLT2 male4 (9)-9-2016-09-07,,PLT2_male,Number,46795.00,89671,19356,52080,57389,,14661,30698,4730,14763,23488,,15572,35462,6187,17847,26580,,14057,30177,4650,14128,22809,,1176,1169,231,1089,739,,9183,20292,3911,12224,8922,,1234,1496,39,2375,1431,,4395,15344,3249,7937,5623,,1545,2159,213,952,703,,33,59,7,113,76,,12,84,1,12,8,,40,115,23,101,72,,
PLT2 male 5 (10),,PLT2_male,Number,,30095,,,,,,8098,,,,,,9514,,,,,,7990,,,,,,563,,,,,,7658,,,,,,980,,,,,,5246,,,,,,737,,,,,,43,,,,,,53,,,,,,33,,,,,
Pound male fat1 (4)-11-2016-09-07,,Pound_male,Number,25275.00,22624,22144,66847,32293,,1376,2525,410,3183,4000,,1920,3577,1613,5923,5680,,1325,2474,360,2949,3858,,1767,263,93,1076,983,,14858,10797,10594,45723,18580,,3005,1229,31,3205,1315,,8578,8159,10396,40592,15895,,1306,710,70,658,602,,63,12,3,25,22,,15,26,10,52,48,,22,27,5,35,29,,
Pound male fat2 (5)-12-2016-09-07,,Pound_male,Number,32478.00,19877,37009,80859,,,3865,2027,1975,3402,,,4355,3076,6921,8842,,,3669,1928,1896,3236,,,1374,144,526,1635,,,12035,6452,13237,51751,,,2512,521,229,8203,,,7325,5405,11898,39518,,,1135,214,335,1906,,,50,11,29,117,,,14,76,11,129,,,26,13,68,55,,,
Pound male fat3 (6)-13-2016-09-07,,Pound_male,Number,46102.00,117363,,,,,3666,13660,,,,,5236,19202,,,,,3346,12800,,,,,2414,1469,,,,,25395,71146,,,,,2618,7446,,,,,20748,61121,,,,,604,956,,,,,26,59,,,,,15,434,,,,,38,72,,,,,
Pound male fat4 (7)-14-2016-09-07,,Pound_male,Number,27882.00,11064,,,,,1492,597,,,,,2044,1024,,,,,1416,582,,,,,821,111,,,,,8283,5483,,,,,1952,388,,,,,4745,4963,,,,,700,63,,,,,34,17,,,,,12,98,,,,,24,15,,,,,
Pound male WT1 (3)-15-2016-09-07,,WT_male,Number,34361.00,35781,72459,89772,,,7506,8070,11054,18597,,,7902,10106,18997,27270,,,7292,7890,10717,17855,,,1513,1471,3159,3774,,,13806,12137,31492,36151,,,754,1525,1043,9035,,,10069,6399,25871,21373,,,986,1631,1755,2004,,,35,45,325,814,,,17,76,84,58,,,37,116,459,258,,,
Pound male WT2 (11)-16-2016-09-07,,WT_male,Number,36752.00,,,,,,6718,,,,,,7408,,,,,,6451,,,,,,1499,,,,,,13207,,,,,,2163,,,,,,7546,,,,,,1532,,,,,,38,,,,,,37,,,,,,29,,,,,,
Pound female fat1 (12)-17-2016-09-07,,Pound_female,Number,35805.00,44730,14358,50282,35934,,3194,2568,230,1985,3808,,3673,4271,1161,3278,6530,,3053,2496,200,1761,3723,,1265,448,56,718,727,,19342,15964,8495,37191,19087,,3658,2731,35,3516,1983,,12733,11487,8277,32430,14917,,1190,711,46,544,1323,,43,49,3,77,39,,30,99,8,91,29,,14,51,7,40,30,,
Pound female fat2 (13)-18-2016-09-07,,Pound_female,Number,26469.00,30569,44024,26438,53991,,5053,2663,6067,2707,8258,,5549,3423,9639,4352,11966,,4835,2614,5876,2614,7961,,850,360,861,849,1724,,9022,9346,14688,13898,25258,,1043,865,118,2320,3688,,5564,7139,13307,10425,18934,,1134,613,449,550,1194,,14,17,15,62,80,,23,32,36,31,37,,22,25,34,42,77,,
Pound female fat3 (15)-19-2016-09-07,,Pound_female,Number,30604.00,29405,,,,,2677,238,,,,,3193,816,,,,,2543,204,,,,,900,579,,,,,19438,15029,,,,,2880,1107,,,,,14042,12070,,,,,867,409,,,,,9,53,,,,,35,173,,,,,13,15,,,,,
Pound female WT1 (14)-20-2016-09-07,,WT_female,Number,15790.00,37698,,,,,3844,5011,,,,,4191,6600,,,,,3705,4862,,,,,427,564,,,,,5200,19202,,,,,160,606,,,,,3615,17129,,,,,502,730,,,,,1,37,,,,,8,242,,,,,14,68,,,,,
Pound female WT2 (16)-21-2016-09-07,,WT_female,Number,15808.00,27095,,,,,3196,2122,,,,,4032,4037,,,,,3028,2073,,,,,548,763,,,,,3115,6958,,,,,96,227,,,,,2117,5829,,,,,270,421,,,,,2,22,,,,,5,159,,,,,4,42,,,,,
met 1#2 female WT,,WT_female,Number,298287.00,111664,94551,52821,86005,445416,80124,25800,31955,13764,17407,5400,79589,32337,35809,14140,17674,5759,77523,24853,31328,18170,20174,5446,11137,3715,3817,1671,1430,1738,69105,34485,23206,15566,9669,10091,4473,5170,2494,1462,1050,1321,45884,20785,14124,9317,6157,5723,9360,4234,3564,3042,1489,1638,107,429,257,55,38,69,325,7205,886,37,117,8,1401,2588,1628,1715,665,162,
met 1#4 female fat (small stroke 0.8),,Pound_female,Number,291477.00,379778,91766,86471,68373,37680,108502,18083,29790,20518,23496,6885,102282,21810,33827,21578,25310,7866,107201,17692,29821,30137,28836,7584,11195,2504,5688,2478,3224,3306,78416,20988,20657,35541,24286,13761,10934,3912,3940,5933,4804,1370,47489,13293,10833,22159,13330,8224,10925,2149,2969,5497,3799,2007,50,410,396,36,100,31,266,4175,867,42,360,16,1188,1314,1724,2338,1712,90,
met 2#1 female fat,,Pound_female,Number,179752.00,193973,310642,51522,91908,70650,44772,55821,12185,6998,10854,17886,46727,65718,20989,8200,12618,18338,43804,54707,12100,11709,19038,19444,6452,10750,2752,1267,2239,2569,52494,89907,32115,26615,32276,32696,7423,12448,8233,2949,4686,2425,35295,60692,19474,17327,20456,24937,5901,3913,2601,3480,5149,2914,20,1311,508,23,105,72,191,30546,1739,71,722,56,862,2542,1908,1391,3865,171,
met 4#1 PLT2,,PLT2_female,Number,173225.00,357757,26345,74878,505651,235935,40516,41967,2277,24586,64110,9230,40661,49456,5440,24491,61204,8551,39717,41312,2254,26643,72039,9488,4037,3991,1677,2594,7380,1914,17258,35319,17186,22153,23742,7290,2875,6534,1549,2580,2747,747,7517,20197,13122,12094,12577,3526,4007,4242,1135,4905,5680,1787,38,777,140,20,189,49,44,7530,1027,129,325,10,390,2690,546,2191,3525,96,
met 4#2 PLT2,,PLT2_female,Number,491451.00,11796,,63558,100293,64386,140101,1724,,15899,35192,19994,138258,2632,,16470,35459,19985,137311,1686,,19610,41476,20249,13647,267,,2902,7181,3771,70093,2249,,27726,21031,23549,7321,253,,2494,2033,1390,33942,1305,,15867,11773,16771,18764,418,,5947,4506,3314,146,64,,115,135,73,338,757,,102,376,30,2114,313,,2355,2428,186,
met 4#3 PLT2,,PLT2_female,Number,156189.00,100036,,18068,33875,994061,76877,27271,,3560,12213,27896,73362,34249,,3887,12757,26080,75160,26788,,5419,16402,28534,5271,3711,,631,3720,5923,21115,28140,,6859,11505,28208,2225,4477,,447,1124,3239,8728,17250,,4182,6739,17056,5951,3740,,1339,1698,4004,22,565,,15,40,241,84,5322,,39,173,21,539,2597,,729,863,511,
met 2#2 female fat,,Pound_female,Number,111205.00,83594,7658,47752,82251,3082,24864,6591,1588,9234,16684,179,27003,12589,4871,13548,18935,298,22909,6934,1276,11073,17847,405,4847,8039,4087,236,6966,103,40865,24906,4218,28632,37276,1656,4791,6295,688,3614,4789,24,25293,15570,3118,20962,27008,1441,6563,1632,186,3276,3338,133,29,881,5,13,8,0,147,2714,12,11,20,5,791,1006,51,76,133,7,
met 2#3 female WT,,WT_female,Number,105884.00,117928,144766,252349,319348,74068,41247,12083,52194,86846,31252,17711,42774,15031,54248,100119,33718,19019,40238,11480,43179,91091,33216,19402,4251,2989,8788,1750,8085,6431,17933,22571,38845,86996,32406,30060,2355,1876,3550,14079,3934,3405,7705,18642,21822,56481,20227,16378,3565,1040,7705,9777,5068,6082,26,500,146,148,87,246,83,6073,59,20,5,30,361,640,5260,597,325,495,
met 2#4 female WT,,WT_female,Number,461718.00,359367,76582,342959,425739,237103,108366,9962,32243,50661,17795,17694,98716,12266,34193,57252,20434,17763,103557,8491,28164,52960,17464,19388,12543,3029,6247,1318,3094,2981,57990,25375,14886,38288,12984,12877,4381,2125,2426,6447,2019,1460,30090,20549,6675,16377,4858,5829,14005,1101,2255,8885,3021,2343,99,293,75,49,34,104,286,4706,106,5,4,36,1535,594,1166,250,133,177,
met 3#4 female WT,,WT_female,Number,181817.00,44617,140476,43411,68939,150228,52326,8438,55587,10571,17537,5053,49421,10260,53955,12547,18805,5674,49879,8007,45184,14510,16476,5851,9069,2728,15906,249,2886,2333,39503,20074,27614,12294,23346,17401,2538,1444,2659,1793,3188,1765,18647,15686,15207,7088,15994,12571,11275,972,4747,1850,2149,1495,43,313,116,30,37,181,159,3733,255,9,3,28,989,341,1604,75,77,194,
met 4#4 PLT2,,PLT2_female,Number,289686.00,60769,33599,6963,14421,570745,27672,11746,9595,1723,5146,13103,27122,13747,12051,2047,5731,13655,26981,8937,7314,2489,5876,14001,5546,4659,1555,156,1304,4435,16321,35861,12779,1821,4140,26844,1524,3251,1440,131,591,2141,6733,28393,7590,818,1753,17682,4401,1704,1653,528,975,3850,26,954,10,3,0,182,41,9368,59,2,5,36,370,806,323,16,36,321,
M PLT2 male 1 (1)-3,Met 5,PLT2_male,%Gated,95.90,97.7,98.5,96,95.9,,50.3,50.6,51.4,52.4,45.2,,58.8,61.7,69.4,64.5,61.6,,98.3,98.4,98,96.7,97.3,,7,6.9,9,6.6,6.9,,26.5,75.9,81.2,73.1,75.5,,16.2,8,4.2,11.8,7.9,,53.5,75.5,79.6,73.2,82.1,,15.9,7.5,6.5,6.4,3.9,,7.9,6.1,22.6,3.2,4.6,,0.3,0.7,0.2,0.2,0,,13.9,5.4,13,9,15.2,,
M PLT2 male 2 (2)-4,,PLT2_male,%Gated,90.10,98,98,97.2,97.4,,48.2,47.6,50.6,49.5,48.5,,53.2,57.6,67,61.7,61.9,,98.3,97.5,98,96.6,97.2,,7.1,7,9.2,5.1,5.7,,32.9,82.5,83.2,84.1,85.3,,6.8,7.6,2.6,8.9,11.8,,70.8,80.3,81.9,79.7,77.3,,12.1,6,5.8,4.5,4.3,,7.2,6.7,22.5,3.2,5,,0.3,0.4,0.2,0.1,0.1,,10.8,7.2,12.3,11.7,13.7,,
M PLT2 male 3 (3)-5,,PLT2_male,%Gated,94.50,97.8,98.2,97.9,96.7,,53.6,53.9,57.2,49.2,44.9,,55.2,63.4,72,61.5,59.7,,98.3,97.9,98.1,97.1,97.5,,10.4,7.3,6.5,8.2,6.7,,68.5,78.2,86.3,80.9,86.3,,11.9,8.8,2.7,17.8,12,,67.2,80.5,84.5,67.6,76.3,,13.2,5.6,6.3,7.2,5.4,,6.5,9.3,17.1,4.5,5.1,,0.2,0.4,0.2,0.2,0.1,,9.7,13.7,9.7,9.2,9.2,,
M PLT2 male 4 (4)-6,,PLT2_male,%Gated,95.30,97,98,97,97.3,,44.6,43.9,45.9,43.3,44,,45.5,52.6,59.9,53.7,54.1,,98.1,96.9,97.7,96.7,97,,4.2,4.5,7.6,6.6,7,,25.7,60.3,70.1,77.4,73.7,,11.1,9.4,3.9,13.7,16.3,,63.2,73.4,79.2,69.1,65.3,,15.7,10.3,7.4,7.1,8.1,,5.1,6.5,24.7,4.2,7.2,,0.5,0.3,0.4,0.1,0.2,,9,7.8,12.4,10.9,9.6,,
M PLT2 male 5 (11)-7,,PLT2_male,%Gated,94.30,89.7,,,,,37.1,39.1,,,,,37.7,46.4,,,,,97.6,98.6,,,,,11.4,4.3,,,,,56.9,40,,,,,17.2,18.3,,,,,57.3,64.4,,,,,12.6,8.2,,,,,5,3.7,,,,,0.4,0.5,,,,,9,4.1,,,,,
M Pound male2 WT (6)-9,,WT_male,%Gated,96.80,95.1,96.8,94.7,99.5,,34.7,30.3,34.7,33.1,41.7,,35.5,40,44,43.2,46.8,,97.4,96.8,97.2,96.2,97.8,,5.1,7.3,8.8,6.5,14.8,,25.1,75.2,78.2,63.9,77.5,,6.4,10.5,3,11.3,20.5,,77.1,70.3,79.8,68.3,58,,7.1,6.9,5.8,7.1,8.2,,10.3,8.5,23.4,5.9,11.9,,0.2,0.4,0.3,0.3,0.1,,12.8,5.6,14.2,8.3,13.7,,
M Pound male4 WT (8)-15,,WT_male,%Gated,95.00,90.6,90.2,95.7,93.7,,50.2,38.7,43.6,37.8,44,,51.3,52.8,63.7,56.3,57.8,,98,97.8,96.8,97.1,96.9,,9.7,4.4,6.3,5.6,4.4,,80.3,42.6,65.8,82.3,77.4,,4.5,26.3,4.8,12.7,16.7,,67.8,42,78.5,77,70.5,,11.7,10.9,6.4,3.6,4.7,,9.4,3.1,26.8,4.8,5.8,,0.2,0.7,0.4,0.2,0.1,,7.5,4.2,18.7,15.3,17.1,,
M Pound male 3 fat (7)-10,,Pound_male,%Gated,96.10,97.6,95.4,95.6,97.3,,35.6,48.1,40.8,32.9,33.9,,38,56,61.5,53.4,54.8,,97.2,89.6,96.9,96.2,96.4,,11,2.4,5.3,4.3,3.2,,42.7,67.1,65.6,78,92,,15,17.7,3.6,25.5,13.2,,65.8,75.3,72.3,60.1,80,,10.6,2.5,9,5.7,2.9,,3.1,2.1,20,2.8,1.5,,0.2,0.6,0.3,0.3,0.1,,5.3,18.8,5.5,6.8,8.1,,
M pound male5 fat (9),,Pound_male,%Gated,,97.3,95.7,96.2,96.6,,,38.6,21.2,22.5,31,,,49,40.3,45.2,48.3,,,95.8,96.7,95.7,97.1,,,4.6,2,3.8,6.4,,,76.3,77.9,80.1,85.1,,,22.2,0.7,15.8,15.7,,,58.8,90,73.5,73.5,,,8.4,2.6,5.3,4.6,,,1.3,7.3,1.5,1.5,,,0.5,0.3,0.2,0.1,,,4.8,2.4,5.6,4.8,,
M Pound male6 fat (10)-17,,Pound_male,%Gated,96.60,,,,,,35.1,,,,,,44.4,,,,,,96.9,,,,,,14,,,,,,71.4,,,,,,13.9,,,,,,74.8,,,,,,5.8,,,,,,2.2,,,,,,0,,,,,,6.2,,,,,,
M PLT2 female2 (13)-19,,PLT2_female,%Gated,95.80,95.1,96.1,96.5,96.6,,36,31.5,35.8,37.9,35.9,,48.3,47.4,53,52.6,53.6,,98.1,97.5,97.7,97.5,96.3,,7,6.4,6,8,7.4,,18.1,50.9,61.9,63.3,60.1,,15.3,18.5,2.7,22.6,19.4,,66.4,57.6,82,58.2,67.5,,8.9,12.6,5.4,8,4.6,,4.1,4,14.1,4.5,7.2,,0,1.6,0.3,0.4,0.3,,11.6,6.1,12.5,11.8,24.7,,
M Pound female1 fat (14)-20,,Pound_female,%Gated,94.60,95.5,90.8,92.6,93.5,,32.4,32,28.7,27.8,33.3,,36.3,40.6,47.7,40.3,43.9,,95.5,94.3,96,96,95.6,,2.6,3.4,2.5,2.2,4.1,,56.9,43.6,43.3,65.3,69.6,,9.8,27.2,4.1,13.9,19.3,,76.3,53.1,81.9,76.2,69.1,,7.6,10.3,7.2,4.9,4.7,,1,1.2,10.4,1.1,1.5,,0.3,0.9,0.3,0.3,0.2,,4,4.3,6.8,4.7,6.4,,
M Pound female2 fat (15)-21,,Pound_female,%Gated,95.30,97.8,97.1,94.1,95.5,,38.7,40.3,30.3,19.8,16.8,,41.9,50.3,53.8,35.8,29.3,,97.3,92,95.2,95.3,94.2,,8.7,1.5,3.4,1.5,2.2,,16.3,77.6,83.4,71.9,81.6,,6.6,11.4,4.3,5.6,4.9,,85.7,82.5,81.6,90.7,91.4,,4.7,3.4,6.7,1.1,0.7,,1.9,0.7,7.8,2.8,4.8,,0.2,0.4,0.3,0.2,0.1,,7.6,3.1,6.3,10.6,9.3,,
M Pound female 3 fat (16)-22,,Pound_female,%Gated,89.70,97.2,,,,,30,3.1,,,,,36.7,40.5,,,,,95.2,74.2,,,,,8.1,0.8,,,,,79.9,78.3,,,,,4.3,8.5,,,,,81.9,81.5,,,,,7.9,5.8,,,,,4,1.6,,,,,0.2,0.6,,,,,9.4,0.7,,,,,
PLT2 male 1 (1)-6-2016-09-07,Met 4,PLT2_male,%Gated,96.10,91,,,,,30.9,41.8,,,,,34.4,51,,,,,95.5,99,,,,,12.4,7.5,,,,,80,71.9,,,,,16.5,16,,,,,57.6,67.9,,,,,15,8.3,,,,,4.3,6.3,,,,,0.2,2.3,,,,,3.3,12.4,,,,,
PLT2 male 2 (2)-7-2016-09-07,,PLT2_male,%Gated,96.00,96.2,,,,,36.8,45.9,,,,,40.4,55.3,,,,,97.2,98.1,,,,,9.7,8.1,,,,,79.9,85.6,,,,,10.7,16.1,,,,,65.4,55.7,,,,,12.7,10.3,,,,,3.5,6.8,,,,,0.1,2.1,,,,,3.9,8.2,,,,,
PLT2 male4 (9)-9-2016-09-07,,PLT2_male,%Gated,97.20,96.4,94.8,96.6,96.9,,41.4,48.9,34.2,42.6,53.2,,44,56.5,44.7,51.5,60.2,,95.9,98.3,98.3,95.7,97.1,,10.9,4.4,4.2,6.5,6.3,,77.4,76.1,71.5,72.9,76.1,,14.6,7.4,1,19.4,16,,52,75.6,83.1,64.9,63,,18.3,10.6,5.4,7.8,7.9,,2.7,3.9,17.9,4.8,5.3,,0.3,0.5,0,0.2,0.1,,2.6,5.3,10.8,10.6,10.2,,
PLT2 male 5 (10),,PLT2_male,%Gated,,87.4,,,,,,21.1,,,,,,36.2,,,,,,97.5,,,,,,1.4,,,,,42,67.3,,,,,,7.1,,,,,,90.5,,,,,,1.1,,,,,,4.4,,,,,,2,,,,,,23.8,,,,,
Pound male fat1 (4)-11-2016-09-07,,Pound_male,%Gated,95.10,92.2,,,,,17.9,43.3,,,,,25,50.9,,,,,96.3,98.7,,,,,10.3,5,,,,,77.7,67.5,,,,,21.1,12.8,,,,,60.3,68.5,,,,,9.2,9.6,,,,,2.1,4.4,,,,,0.2,1,,,,,1.7,4.5,,,,,
Pound male fat2 (5)-12-2016-09-07,,Pound_male,%Gated,94.70,94,88.9,96.9,96.6,,24.6,29.2,9.8,22.8,37.8,,27.7,41.4,38.7,42.4,53.6,,94.9,98,87.8,92.6,96.5,,8.4,1.9,0.5,2.1,4.8,,82.3,77.7,59.1,87.8,90.5,,21.5,11.4,0.3,7,7.1,,62.7,75.6,98.1,88.8,85.5,,9.7,6.6,0.7,1.4,3.2,,2,1,9.7,0.8,1.7,,0.2,0.3,0.1,0.1,0.3,,2.3,3.8,7.1,5.3,4.8,,
